a,а
white,белый
who,ВОЗ
whole,весь
why,почему
wide,широкий
wife,жена
will,воля
wind,ветер
window,окно
wipe,вытирать
wish,желание
with,с
within,в пределах
without,без
woke,проснулся
woman,женщина
women,женщины
won't,не будет
wonder,удивляться
wood,древесина
word,слово
wore,носил
work,работа
world,мир
worry,волноваться
worse,худший
would,бы
wouldn't,не будет
wow,ух ты
wrap,сворачивать
write,писать
wrong,неправильный
yeah,ага
year,год
yell,кричать
yes,да
yet,еще
you,ты
you'd,ты бы
you'll,Вы будете
you're,Вы
you've,Вы
young,молодой
your,твой
yourself,сам
